latency,RSSI,filtered latency,TIMESTAMP,Drop?
123,-103,364,5.504933000003803,1
101,-102,613,5.916369999999006,1
165,-98,1016,6.322050000002491,0
167,-95,1022,6.755263999999443,0
164,-95,911,7.185772000004363,0
167,-92,830,7.60166400000162,0
164,-90,741,8.021827000004123,0
178,-89,677,8.430317999998806,0
178,-91,618,8.826359999999113,0
179,-93,574,9.220328000003065,0
179,-99,523,9.621510999997554,0
179,-99,486,9.999946000003547,0
175,-101,443,10.40936800000054,0
179,-102,409,10.817660000000615,0
34,-103,464,11.192119999999704,0
34,-102,739,11.542488999999478,1
34,-103,759,11.921676999998454,1
34,-103,700,12.251033000000461,1
34,-103,646,12.604394000001776,1
34,-103,596,12.967440000000352,1
34,-103,549,13.32229599999846,1
34,-103,496,13.68179699999746,1
34,-103,449,14.058236999997462,1
34,-103,414,14.450503000000026,1
34,-103,374,14.83605499999976,1
34,-103,345,15.199126999999862,1
63,-99,732,15.617569000001822,1
151,-99,1007,15.991280000002007,0
153,-96,986,16.403558999998495,0
150,-94,913,16.769172000000253,0
153,-91,830,17.150824000003922,0
154,-91,770,17.537837000003492,0
152,-89,701,17.93616800000018,0
156,-91,650,18.317548999999417,0
155,-91,592,18.733087000000523,0
155,-93,540,19.101706000001286,0
153,-97,502,19.50209999999788,0
150,-100,456,19.931977000000188,0
220,-99,559,20.33192599999893,0
220,-103,843,20.718958999997994,1
220,-101,959,21.083403999997245,1
220,-103,867,21.450517999997828,1
220,-103,784,21.816596999997273,1
220,-103,708,22.21662500000093,1
220,-103,640,22.60405300000275,1
220,-103,591,22.973691999999573,1
220,-103,545,23.42456900000252,1
220,-103,492,23.784273999997822,1
220,-102,454,24.19272600000113,1
220,-102,410,24.565647000003082,1
220,-102,371,24.952873000002,1
220,-98,342,25.332871999999043,1
335,-100,1818,25.70159699999931,1
346,-98,2891,26.09631100000115,0
348,-94,2618,26.530202000001736,0
348,-93,2371,26.91678800000227,0
347,-89,2147,27.303335999997216,0
348,-90,1945,27.702825000000303,0
347,-92,1797,28.068036999997275,0
348,-94,1629,28.48478299999988,0
348,-97,1448,28.934758000003058,0
340,-99,1314,29.303185999997368,0
307,-100,1201,29.71276200000284,0
164,-101,1505,30.104032000002917,0
164,-102,2590,30.466160000003583,1
164,-102,2518,30.816257999998925,1
164,-102,2322,31.20246500000212,1
164,-102,2099,31.550405000001774,1
164,-102,1936,31.931344000004174,1
164,-102,1750,32.299440000002505,1
164,-102,1614,32.648886000002676,1
164,-102,1459,33.001241999998456,1
164,-102,1346,33.36935700000322,1
164,-102,1216,33.749675999999454,1
164,-102,1122,34.10813500000222,1
164,-102,1014,34.50449600000138,1
164,-100,917,34.863812000003236,1
248,-99,1292,35.28276999999798,1
337,-97,2315,35.69845499999792,0
335,-92,2150,36.17035900000337,0
336,-90,1951,36.59030399999756,0
337,-88,1767,37.01683200000116,0
336,-89,1602,37.419038,0
333,-92,1452,37.83761500000401,0
348,-94,1317,38.249854000001505,0
347,-98,1199,38.670711999999185,0
335,-97,1069,39.09015499999805,0
327,-103,989,39.47976000000199,0
234,-101,966,39.84952599999815,0
234,-103,2075,40.25091699999757,1
234,-103,2583,40.62197600000218,1
234,-103,2385,40.986581999997725,1
234,-103,2200,41.32536899999832,1
234,-103,2029,41.67929400000139,1
234,-103,1872,42.01456799999869,1
234,-103,1726,42.34824800000206,1
234,-103,1592,42.70380400000431,1
234,-103,1469,43.072745999998006,1
234,-103,1328,43.42177800000354,1
234,-103,1200,43.83159899999737,1
31,-103,1308,44.21544200000062,1
100,-101,1687,44.6097030000019,1
132,-98,1711,45.03180499999871,0
170,-95,1623,45.457837000001746,0
163,-91,1463,45.915303000001586,0
170,-91,1326,46.36451300000044,0
169,-90,1204,46.79284700000426,0
